sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
1662,1662,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1662_1.fastq,1662_2.fastq,,,,
1663,1663,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1663_1.fastq,1663_2.fastq,,,,
1664,1664,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1664_1.fastq,1664_2.fastq,,,,
1759,1759,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1759_1.fastq,1759_2.fastq,,,,
1762,1762,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1762_1.fastq,1762_2.fastq,,,,
1764,1764,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1764_1.fastq,1764_2.fastq,,,,
1765,1765,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1765_1.fastq,1765_2.fastq,,,,
1766,1766,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1766_1.fastq,1766_2.fastq,,,,
1767,1767,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1767_1.fastq,1767_2.fastq,,,,
1769,1769,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1769_1.fastq,1769_2.fastq,,,,
1770,1770,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1770_1.fastq,1770_2.fastq,,,,
1772,1772,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1772_1.fastq,1772_2.fastq,,,,
1773,1773,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1773_1.fastq,1773_2.fastq,,,,
1775,1775,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1775_1.fastq,1775_2.fastq,,,,
1776,1776,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1776_1.fastq,1776_2.fastq,,,,
1777,1777,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1777_1.fastq,1777_2.fastq,,,,
1778,1778,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1778_1.fastq,1778_2.fastq,,,,
1782,1782,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1782_1.fastq,1782_2.fastq,,,,
1783,1783,mouse fecal metagenome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,shotgun metagenomic sequencing of DNA extracted from excreted mouse feces,fastq,1783_1.fastq,1783_2.fastq,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
